last_update,location_type,state,county_name,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
2022-07-26 00:21:02 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",1001,32.53952745,-86.64408227,Medium metro,55200,17468,31644.93,220,398.55
2022-07-26 00:21:02 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",1003,30.72774991,-87.72207058,Small metro,208107,61967,29776.51,687,330.12
2022-07-26 00:21:02 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",1005,31.868263,-85.3871286,Non-core,25782,6308,24466.68,100,387.87
2022-07-26 00:21:02 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",1007,32.99642064,-87.1251146,Large fringe metro,22527,6947,30838.55,105,466.11
2022-07-26 00:21:02 UTC,county,Alabama,Blount,"Blount, Alabama, US",1009,33.98210918,-86.56790593,Large fringe metro,57645,15998,27752.62,247,428.48
2022-07-26 00:21:02 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",1011,32.10030533,-85.71265535,Non-core,10352,2623,25338.1,54,521.64
2022-07-26 00:21:02 UTC,county,Alabama,Butler,"Butler, Alabama, US",1013,31.75300095,-86.68057478,Non-core,20025,5547,27700.37,129,644.19
2022-07-26 00:21:02 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",1015,33.77483727,-85.82630386,Small metro,115098,34553,30020.5,638,554.31
2022-07-26 00:21:02 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",1017,32.91360079,-85.39072749,Micropolitan,33826,9388,27753.8,165,487.79
2022-07-26 00:21:02 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",1019,34.17805983,-85.60638968,Non-core,25853,5528,21382.43,87,336.52
2022-07-26 00:21:02 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",1021,32.85044126,-86.7173256,Large fringe metro,43930,11774,26801.73,212,482.59
2022-07-26 00:21:02 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",1023,32.02227341,-88.2656443,Non-core,13075,2144,16397.71,37,282.98
2022-07-26 00:21:02 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",1025,31.68099859,-87.83548597,Non-core,24387,7685,31512.69,102,418.26
2022-07-26 00:21:02 UTC,county,Alabama,Clay,"Clay, Alabama, US",1027,33.26984193,-85.85836077,Non-core,13378,4425,33076.69,83,620.42
2022-07-26 00:21:02 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",1029,33.67679204,-85.52005899,Non-core,14938,3727,24949.79,69,461.91
2022-07-26 00:21:02 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",1031,31.39932826,-85.98901039,Micropolitan,51288,14928,29106.22,236,460.15
2022-07-26 00:21:02 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",1033,34.69847452,-87.80168544,Small metro,54495,17945,32929.63,264,484.45
2022-07-26 00:21:02 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",1035,31.43401703,-86.99320044,Non-core,12514,3159,25243.73,71,567.36
