date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2021-04-27,Yemen,37.0,2.0,6220.0,1207.0,302.0,69.0,713.0,134.0
2021-04-28,Yemen,43.0,9.0,6263.0,1216.0,303.0,69.0,681.0,133.0
2021-04-29,Yemen,31.0,6.0,6294.0,1222.0,274.0,65.0,637.0,125.0
2021-04-30,Yemen,23.0,4.0,6317.0,1226.0,261.0,61.0,602.0,118.0
2021-05-01,Yemen,8.0,3.0,6325.0,1229.0,220.0,54.0,555.0,110.0
2021-05-02,Yemen,16.0,4.0,6341.0,1233.0,204.0,46.0,529.0,107.0
2021-05-03,Yemen,22.0,6.0,6363.0,1239.0,180.0,34.0,505.0,107.0
2021-05-04,Yemen,27.0,1.0,6390.0,1240.0,170.0,33.0,472.0,102.0
2021-05-05,Yemen,24.0,20.0,6414.0,1260.0,151.0,44.0,454.0,113.0
2021-05-06,Yemen,12.0,5.0,6426.0,1265.0,132.0,43.0,406.0,108.0
2021-05-07,Yemen,20.0,4.0,6446.0,1269.0,129.0,43.0,390.0,104.0
2021-05-08,Yemen,16.0,1.0,6462.0,1270.0,137.0,41.0,357.0,95.0
2021-05-09,Yemen,20.0,1.0,6482.0,1271.0,141.0,38.0,345.0,84.0
2021-05-10,Yemen,3.0,4.0,6485.0,1275.0,122.0,36.0,302.0,70.0
2021-05-11,Yemen,7.0,1.0,6492.0,1276.0,102.0,36.0,272.0,69.0
2021-05-12,Yemen,6.0,1.0,6498.0,1277.0,84.0,17.0,235.0,61.0
2021-05-13,Yemen,9.0,1.0,6507.0,1278.0,81.0,13.0,213.0,56.0
2021-05-14,Yemen,16.0,7.0,6523.0,1285.0,77.0,16.0,206.0,59.0
2021-05-15,Yemen,15.0,0.0,6538.0,1285.0,76.0,15.0,213.0,56.0
2021-05-16,Yemen,5.0,4.0,6543.0,1289.0,61.0,18.0,202.0,56.0
2021-05-17,Yemen,25.0,5.0,6568.0,1294.0,83.0,19.0,205.0,55.0
2021-05-18,Yemen,18.0,3.0,6586.0,1297.0,94.0,21.0,196.0,57.0
2021-05-19,Yemen,7.0,1.0,6593.0,1298.0,95.0,21.0,179.0,38.0
2021-05-20,Yemen,20.0,3.0,6613.0,1301.0,106.0,23.0,187.0,36.0
2021-05-21,Yemen,19.0,1.0,6632.0,1302.0,109.0,17.0,186.0,33.0
2021-05-22,Yemen,17.0,2.0,6649.0,1304.0,111.0,19.0,187.0,34.0
2021-05-23,Yemen,9.0,3.0,6658.0,1307.0,115.0,18.0,176.0,36.0
2021-05-24,Yemen,4.0,3.0,6662.0,1310.0,94.0,16.0,177.0,35.0
2021-05-25,Yemen,8.0,1.0,6670.0,1311.0,84.0,14.0,178.0,35.0
2021-05-26,Yemen,18.0,2.0,6688.0,1313.0,95.0,15.0,190.0,36.0
2021-05-27,Yemen,8.0,2.0,6696.0,1315.0,83.0,14.0,189.0,37.0
2021-05-28,Yemen,27.0,1.0,6723.0,1316.0,91.0,14.0,200.0,31.0
2021-05-29,Yemen,8.0,3.0,6731.0,1319.0,82.0,15.0,193.0,34.0
2021-05-30,Yemen,6.0,1.0,6737.0,1320.0,79.0,13.0,194.0,31.0
2021-05-31,Yemen,5.0,1.0,6742.0,1321.0,80.0,11.0,174.0,27.0
2021-06-01,Yemen,9.0,1.0,6751.0,1322.0,81.0,11.0,165.0,25.0
2021-06-02,Yemen,8.0,1.0,6759.0,1323.0,71.0,10.0,166.0,25.0
2021-06-03,Yemen,8.0,2.0,6767.0,1325.0,71.0,10.0,154.0,24.0
2021-06-04,Yemen,6.0,0.0,6773.0,1325.0,50.0,9.0,141.0,23.0
2021-06-05,Yemen,7.0,0.0,6780.0,1325.0,49.0,6.0,131.0,21.0
2021-06-06,Yemen,7.0,4.0,6787.0,1329.0,50.0,9.0,129.0,22.0
2021-06-07,Yemen,25.0,7.0,6812.0,1336.0,70.0,15.0,150.0,26.0
2021-06-08,Yemen,11.0,0.0,6823.0,1336.0,72.0,14.0,153.0,25.0
2021-06-09,Yemen,9.0,1.0,6832.0,1337.0,73.0,14.0,144.0,24.0
2021-06-10,Yemen,4.0,1.0,6836.0,1338.0,69.0,13.0,140.0,23.0
2021-06-11,Yemen,20.0,4.0,6856.0,1342.0,83.0,17.0,133.0,26.0
2021-06-12,Yemen,1.0,5.0,6857.0,1347.0,77.0,22.0,126.0,28.0
2021-06-13,Yemen,5.0,2.0,6862.0,1349.0,75.0,20.0,125.0,29.0
